"Name","Pin","Function","Symbolic name","Direction","Mode","Pad level","Pad strength","Pin function","Pad class","Power domain","Reset state"
"AN0","67","","","","","","","","D","VDDM","HighZ"
"AN1","66","","","","","","","","D","VDDM","HighZ"
"AN2","65","","","","","","","","D","VDDM","HighZ"
"AN3","64","","","","","","","","D","VDDM","HighZ"
"AN4","63","","","","","","","","D","VDDM","HighZ"
"AN5","62","","","","","","","","D","VDDM","HighZ"
"AN6","61","","","","","","","","D","VDDM","HighZ"
"AN7","60","","","","","","","","D","VDDM","HighZ"
"AN8","59","","","","","","","","D","VDDM","HighZ"
"AN10","58","","","","","","","","D","VDDM","HighZ"
"AN11","57","","","","","","","","D","VDDM","HighZ"
"AN12","56","","","","","","","","D","VDDM","HighZ"
"AN13","55","","","","","","","","D","VDDM","HighZ"
"AN16","50","","","","","","","","D","VDDM","HighZ"
"AN17","49","","","","","","","","D","VDDM","HighZ"
"AN18","48","","","","","","","","D","VDDM","HighZ"
"AN19","47","","","","","","","","D","VDDM","HighZ"
"AN20","46","","","","","","","","D","VDDM","HighZ"
"AN21","45","","","","","","","","D","VDDM","HighZ"
"AN28","40","","","","","","","","D","VDDM","HighZ"
"AN29","39","","","","","","","","D","VDDM","HighZ"
"AN35","36","","","","","","","","D","VDDM","HighZ"
"AN44","31","","","","","","","","D","VDDM","HighZ"
"AN45","30","","","","","","","","D","VDDM","HighZ"
"AN46","29","","","","","","","","D","VDDM","HighZ"
"AN47","28","","","","","","","","D","VDDM","HighZ"
"P00.0","11","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P00.1","12","","","Input","Pull-up","CMOS/Automotive","","Digital","LP","VEXT","PU1"
"P00.2","13","","","Input","Pull-up","CMOS/Automotive","","Digital","LP","VEXT","PU1"
"P00.3","14","","","Input","Pull-up","CMOS/Automotive","","Digital","LP","VEXT","PU1"
"P00.4","15","","","Input","Pull-up","CMOS/Automotive","","Digital","LP","VEXT","PU1"
"P00.5","16","","","Input","Pull-up","CMOS/Automotive","","Digital","LP","VEXT","PU1"
"P00.6","17","","","Input","Pull-up","CMOS/Automotive","","Digital","LP","VEXT","PU1"
"P00.7","18","","","Input","Pull-up","CMOS/Automotive","","Digital","LP","VEXT","PU1"
"P00.8","19","","","Input","Pull-up","CMOS/Automotive","","Digital","LP","VEXT","PU1"
"P00.9","20","","","Input","Pull-up","CMOS/Automotive","","Digital","LP","VEXT","PU1"
"P00.10","21","","","Input","Pull-up","CMOS/Automotive","","Digital","LP","VEXT","PU1"
"P00.11","22","","","Input","Pull-up","CMOS/Automotive","","Digital","LP","VEXT","PU1"
"P00.12","23","","","Input","Pull-up","CMOS/Automotive","","Digital","LP","VEXT","PU1"
"P02.0","1","","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P02.1","2","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P02.2","3","","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P02.3","4","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P02.4","5","","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P02.5","6","","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P02.6","7","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P02.7","8","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P02.8","9","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P10.0","168","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P10.1","169","","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P10.2","170","GPIO","GPIO1","Output","Push-pull","CMOS/Automotive","Speed grade 4","","MP","VEXT","PU1"
"P10.3","171","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P10.4","172","","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P10.5","173","SCU_HWCFG4","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P10.6","174","SCU_HWCFG5","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P10.7","175","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P10.8","176","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P11.2","160","","","Input","Pull-up","CMOS/Automotive","","","MPR","VFLEX","PU1"
"P11.3","161","","","Input","Pull-up","CMOS/Automotive","","","MPR","VFLEX","PU1"
"P11.6","162","","","Input","Pull-up","CMOS/Automotive","","","MPR","VFLEX","PU1"
"P11.9","163","","","Input","Pull-up","CMOS/Automotive","","","MP+","VFLEX","PU1"
"P11.10","165","","","Input","Pull-up","CMOS/Automotive","","","LP","VFLEX","PU1"
"P11.11","166","","","Input","Pull-up","CMOS/Automotive","","","MP+","VFLEX","PU1"
"P11.12","167","","","Input","Pull-up","CMOS/Automotive","","","MPR","VFLEX","PU1"
"P13.0","156","","","Input","Pull-up","CMOS/Automotive","","","LVDSM_N","VEXT","PU1"
"P13.1","157","","","Input","Pull-up","CMOS/Automotive","","","LVDSM_P","VEXT","PU1"
"P13.2","158","","","Input","Pull-up","CMOS/Automotive","","","LVDSM_N","VEXT","PU1"
"P13.3","159","","","Input","Pull-up","CMOS/Automotive","","","LVDSM_P","VEXT","PU1"
"P14.0","142","","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P14.1","143","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P14.2","144","EVR1V_EN","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P14.3","145","SCU_HWCFG3","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P14.4","146","SCU_HWCFG6","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P14.5","147","EVR3V_EN","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P14.6","148","EVR1V_MODE","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P14.7","149","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P14.8","150","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P14.9","151","","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P14.10","152","","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P15.0","133","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P15.1","134","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P15.2","135","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P15.3","136","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P15.4","137","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P15.5","138","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P15.6","139","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P15.7","140","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P15.8","141","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P20.0","116","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P20.1","117","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P20.2","118","SCU_TESTMODE","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU"
"P20.3","119","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P20.6","124","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P20.7","125","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P20.8","126","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P20.9","127","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P20.10","128","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P20.11","129","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P20.12","130","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P20.13","131","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P20.14","132","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
"P21.0","105","","","Input","Pull-up","CMOS/Automotive","","","A2","VDDP3","PU1"
"P21.1","106","","","Input","Pull-up","CMOS/Automotive","","","A2","VDDP3","PU1"
"P21.2","107","","","Input","Pull-up","CMOS/Automotive","","","LVDSH_N","VDDP3","PU1"
"P21.3","108","","","Input","Pull-up","CMOS/Automotive","","","LVDSH_P","VDDP3","PU1"
"P21.4","109","","","Input","Pull-up","CMOS/Automotive","","","LVDSH_N","VDDP3","PU1"
"P21.5","110","","","Input","Pull-up","CMOS/Automotive","","","LVDSH_P","VDDP3","PU1"
"P21.6","111","","","Input","Pull-up","CMOS/Automotive","","","A2","VDDP3","PU"
"P21.7","113","","","Input","Pull-up","CMOS/Automotive","","","A2","VDDP3","PU"
"P22.0","95","","","Input","Pull-up","CMOS/Automotive","","","LVDSM_N","VEXT","PU1"
"P22.1","96","","","Input","Pull-up","CMOS/Automotive","","","LVDSM_P","VEXT","PU1"
"P22.2","97","","","Input","Pull-up","CMOS/Automotive","","","LVDSM_N","VEXT","PU1"
"P22.3","98","","","Input","Pull-up","CMOS/Automotive","","","LVDSM_P","VEXT","PU1"
"P23.0","89","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P23.1","90","","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P23.2","91","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P23.3","92","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P23.4","93","","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P23.5","94","","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P32.0","84","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","EVR13 SMPS -> PD, GPIO - > PU"
"P32.2","86","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P32.3","87","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P32.4","88","","","Input","Pull-up","CMOS/Automotive","","","MP+","VEXT","PU1"
"P33.0","70","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P33.1","71","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P33.2","72","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P33.3","73","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P33.4","74","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P33.5","75","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P33.6","76","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P33.7","77","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P33.8","78","","","Input","Tri-state","CMOS/Automotive","","","MP","VEXT","HighZ"
"P33.9","79","","","Input","Pull-up","CMOS/Automotive","","","LP","VEXT","PU1"
"P33.10","80","","","Input","Pull-up","CMOS/Automotive","","","MP","VEXT","PU1"
